"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-01","64","86","52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-02","78","93","59"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-03","83","95","57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-04","74","97","55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-05","80",,"55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-06","69","93",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-07","73",,"54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-09","66","86","54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-10","71","86","57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-11","73",,"55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-12","74","90","57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-13","68","86",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-14","69",,"57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-15","73","90","54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-16","70","90",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-17","64","86","54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-18","71",,"54"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-20","82","93",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-21","70","88","55"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-22","69","86","57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-23","62","82","46"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-24","67",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-25","71",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-26","72","88","50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-27","69",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-28","69","90","59"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-29","71","88",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-01-30","76","90",
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-02-01","73","91","57"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-02-02","63",,"52"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-02-03","72",,"50"
"CIM00085574","ARTURO MERINO BENITEZ INTERNATIONAL, CI","1973-02-04","75","97","54"
