Year,Month,Day,TAVG,TMAX,TMIN
1869,1,1,24,29,19
1869,1,2,24,27,21
1869,1,3,32.5,35,30
1869,1,4,34.5,35,34
1869,1,5,40.5,43,38
1869,1,6,36,38,34
1869,1,7,41.5,48,35
1869,1,8,47,54,40
1869,1,9,43,48,38
1869,1,10,40,44,36
1869,1,11,32,34,30
1869,1,12,33,37,29
1869,1,13,33,38,28
1869,1,14,37,42,32
1869,1,15,40.5,42,39
1869,1,16,35,38,32
1869,1,17,32,35,29
1869,1,18,27.5,29,26
1869,1,19,30.5,34,27
1869,1,20,33.5,37,30
1869,1,21,36,42,30
1869,1,22,22,27,17
1869,1,23,29.5,39,20
1869,1,24,41.5,48,35
1869,1,25,30,38,22
1869,1,26,24.5,31,18
1869,1,27,31.5,40,23
1869,1,28,41,47,35
1869,1,29,39,48,30
1869,1,30,49,54,44
1869,1,31,33.5,37,30
1869,2,1,29,33,25
1869,2,2,28,34,22
1869,2,3,35.5,36,35
1869,2,4,29.5,38,21
1869,2,5,23.5,25,22
1869,2,6,33.5,40,27
1869,2,7,29.5,36,23
1869,2,8,32.5,40,25
1869,2,9,36,38,34
1869,2,10,36.5,39,34
1869,2,11,42,46,38
1869,2,12,42,48,36
1869,2,13,50.5,61,40
1869,2,14,38.5,42,35
1869,2,15,37.5,43,32
1869,2,16,40,44,36
1869,2,17,40,46,34
1869,2,18,35.5,41,30
1869,2,19,36,42,30
1869,2,20,35.5,39,32
1869,2,21,36.5,40,33
1869,2,22,44,50,38
1869,2,23,38.5,44,33
1869,2,24,32.5,38,27
1869,2,25,32,38,26
1869,2,26,32.5,34,31
1869,2,27,26.5,31,22
1869,2,28,21,25,17
1869,3,1,15,26,4
1869,3,2,27.5,36,19
1869,3,3,35.5,43,28
1869,3,4,31.5,44,19
1869,3,5,23,35,11
1869,3,6,28,36,20
1869,3,7,23,26,20
1869,3,8,32,38,26
1869,3,9,39,46,32
1869,3,10,42.5,47,38
1869,3,11,32.5,37,28
1869,3,12,32.5,38,27
1869,3,13,42.5,52,33
1869,3,14,42.5,48,37
1869,3,15,27.5,30,25
1869,3,16,32.5,39,26
1869,3,17,36.5,42,31
1869,3,18,30,36,24
1869,3,19,38,42,34
1869,3,20,42,48,36
1869,3,21,25.5,30,21
1869,3,22,28,35,21
1869,3,23,36,40,32
1869,3,24,42.5,50,35
1869,3,25,39.5,46,33
1869,3,26,43,47,39
1869,3,27,54,60,48
1869,3,28,48,55,41
1869,3,29,39.5,40,39
1869,3,30,46.5,53,40
1869,3,31,42,46,38
1869,4,1,42,48,36
1869,4,2,40.5,43,38
1869,4,3,39.5,41,38
1869,4,4,31,32,30
1869,4,5,43,50,36
1869,4,6,47.5,53,42
1869,4,7,40.5,44,37
1869,4,8,44,52,36
1869,4,9,40,47,33
1869,4,10,40.5,47,34
1869,4,11,37.5,40,35
1869,4,12,43,48,38
1869,4,13,38.5,45,32
1869,4,14,40.5,46,35
1869,4,15,46,54,38
1869,4,16,58.5,67,50
1869,4,17,53.5,57,50
1869,4,18,61.5,71,52
1869,4,19,66,76,56
1869,4,20,62,68,56
1869,4,21,58.5,60,57
1869,4,22,52,57,47
1869,4,23,55.5,61,50
1869,4,24,66,73,59
1869,4,25,55,56,54
1869,4,26,62,71,53
1869,4,27,65.5,71,60
1869,4,28,65,69,61
1869,4,29,49,54,44
1869,4,30,48.5,55,42
1869,5,1,44,46,42
1869,5,9,59,65,53
1869,5,10,59,66,52
1869,5,11,66,75,57
1869,5,12,72.5,80,65
1869,5,13,61.5,63,60
1869,5,14,64.5,71,58
1869,5,15,63.5,69,58
1869,5,16,59,62,56
1869,5,17,57,61,53
1869,5,18,57.5,62,53
1869,5,19,51,53,49
1869,5,20,59,63,55
1869,5,21,56,61,51
1869,5,22,53.5,59,48
1869,5,23,57.5,65,50
